# --- Attack Parameters ---
# {
#     "executable": "./resources/execution_files/age_googlenet_mnn",
#     "image": "/img_align_celeba/018047.jpg",
#     "hooks": "/temp/hook_config/age_googlenet_mnn_hook_config.json",
#     "model": [
#         "/temp/resources/models/age_googlenet.mnn"
#     ],
#     "models": null,
#     "iterations": 100,
#     "learning_rate": 5.0,
#     "l_inf_norm": 30.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.05,
#     "population_size": 200,
#     "sigma": 0.6,
#     "enable_stagnation_decay": true,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_fitness_shaping": true,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "enable_dynamic_focus": true,
#     "evaluation_window": 10,
#     "boost_weight": 12.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/temp/outputs/age_googlenet_mnn_attack_results/018047_attacked",
#     "model_paths": [
#         "/temp/resources/models/age_googlenet.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,202,40.806895,inf,5.000000,False,1,6,scouting,"None","",5.79,6.36
2,403,40.758361,40.806895,5.000000,False,1,6,scouting,"None","",5.74,12.89
3,604,40.709227,40.758361,5.000000,False,1,6,scouting,"None","",5.77,19.45
4,805,40.660637,40.709227,5.000000,False,1,6,scouting,"None","",5.69,25.92
5,1006,40.611742,40.660637,5.000000,False,1,6,scouting,"None","",5.79,32.49
6,1207,40.564827,40.611742,5.000000,False,1,6,scouting,"None","",5.76,39.03
7,1408,40.519721,40.564827,5.000000,False,1,6,scouting,"None","",5.81,45.63
8,1609,40.485556,40.519721,5.000000,False,1,6,scouting,"None","",5.73,52.15
9,1810,40.454862,40.485556,5.000000,False,1,6,scouting,"None","",5.83,58.75
10,2011,40.428659,40.454862,5.000000,False,1,6,scouting,"None","",5.73,65.26
11,2212,45.371861,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.78,71.83
12,2413,45.504084,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.79,77.62
13,2614,45.516229,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.70,83.32
14,2815,45.451133,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.83,89.15
15,3016,45.328952,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.71,94.86
16,3217,45.153552,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.78,100.64
17,3418,45.013110,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.84,106.48
18,3619,45.089347,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.82,112.30
19,3820,45.111011,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.80,118.10
20,4021,45.092372,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.80,123.90
21,4222,45.053996,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.74,129.64
22,4423,44.983132,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.80,135.44
23,4624,44.879383,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.74,141.18
24,4825,44.943241,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.94,147.13
25,5026,44.964241,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.82,152.95
26,5227,44.935125,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.77,158.72
27,5428,44.837734,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.75,164.47
28,5629,44.802161,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.93,170.40
29,5830,44.817959,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.76,176.17
30,6031,44.794385,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.82,181.99
31,6232,44.734230,40.428659,5.000000,False,1,6,focused_fire,"0x233c","",5.81,187.80
