iteration,total_queries,loss,iter_time_s,total_time_s
1,202,30.036501,4.73,5.17
2,403,30.030612,4.69,10.42
3,604,20.802676,4.73,15.69
4,805,30.016372,4.75,21.01
5,1006,20.788247,4.83,25.85
6,1207,24.679223,4.79,31.21
7,1408,24.638203,4.83,36.05
8,1609,24.580457,4.74,40.79
9,1810,24.538038,4.79,45.59
10,2011,24.489459,4.82,50.41
11,2212,24.438312,4.80,55.21
12,2413,24.391435,4.80,60.01
13,2614,24.324284,4.75,64.76
14,2815,24.283549,4.80,69.56
15,3016,24.235062,4.78,74.34
16,3217,24.174088,4.73,79.07
17,3418,24.113721,4.83,83.90
18,3619,24.054221,4.86,88.76
19,3820,24.007371,4.77,93.54
20,4021,23.960940,4.75,98.29
21,4222,23.928687,4.77,103.05
22,4423,23.887402,4.73,107.78
23,4624,23.841450,4.83,112.62
24,4825,23.799002,4.78,117.40
25,5026,23.767089,4.77,122.17
26,5227,23.740568,4.74,126.91
27,5428,23.708400,4.81,131.72
28,5629,23.656388,4.74,136.46
29,5830,23.597537,4.80,141.26
30,6031,23.573279,4.80,146.06
31,6232,23.510123,4.80,150.85
32,6433,23.480765,4.83,155.69
33,6634,23.439870,4.83,160.52
34,6835,23.369164,4.74,165.27
35,7036,23.320314,4.76,170.03
36,7237,23.261013,4.75,174.79
37,7438,23.214888,4.78,179.57
38,7639,23.164992,4.77,184.35
39,7840,23.131085,4.83,189.18
40,8041,23.066335,4.85,194.03
41,8242,23.000968,4.80,198.84
42,8443,22.947927,4.82,203.66
43,8644,22.885855,4.72,208.39
44,8845,80.056681,4.80,213.19
45,9046,22.744797,4.77,217.96
46,9247,22.705886,4.76,222.72
47,9448,22.632696,4.84,227.56
48,9649,22.572556,4.81,232.37
49,9850,22.519272,4.78,237.15
50,10051,22.455135,4.80,241.96
51,10252,22.375591,4.86,246.81
52,10453,22.321014,4.74,251.55
53,10654,22.258976,4.86,256.41
54,10855,22.193113,4.89,261.31
55,11056,22.125293,4.73,266.04
56,11257,22.048860,4.77,270.81
57,11458,21.981466,4.81,275.63
58,11659,21.921558,4.78,280.41
59,11860,21.855678,4.72,285.13
60,12061,21.814111,4.78,289.91
61,12262,21.766611,4.72,294.63
62,12463,21.706912,4.85,299.48
63,12664,21.660915,4.76,304.24
64,12865,21.624636,4.84,309.09
65,13066,21.572681,4.78,313.88
66,13267,21.538676,4.72,318.60
67,13468,21.496721,4.80,323.40
68,13669,21.448229,4.81,328.22
69,13870,21.407988,4.81,333.03
70,14071,21.379347,4.81,337.84
71,14272,21.334160,4.75,342.60
72,14473,21.313967,4.73,347.32
73,14674,21.286120,4.78,352.11
74,14875,21.227669,4.81,356.92
75,15076,21.192670,4.72,361.64
76,15277,21.144225,4.71,366.35
77,15478,21.118861,4.76,371.11
78,15679,21.076977,4.78,375.89
79,15880,21.051167,4.76,380.65
80,16081,21.022792,4.84,385.50
81,16282,20.989869,4.84,390.33
82,16483,20.970987,4.83,395.16
83,16684,20.929095,4.75,399.92
84,16885,20.893250,4.87,404.79
85,17086,20.862235,4.75,409.54
86,17287,20.822282,4.76,414.31
87,17488,20.797809,4.85,419.16
88,17689,20.757616,4.83,424.00
89,17890,20.723377,4.80,429.37
90,18091,20.699316,4.85,434.80
91,18292,20.672139,4.66,440.03
92,18493,20.656569,4.80,445.41
93,18694,20.622407,4.77,450.73
94,18895,20.613886,4.84,456.15
95,19096,20.573043,4.86,461.57
96,19297,20.543448,4.84,466.98
97,19498,20.516444,4.75,472.31
98,19699,20.509906,4.73,477.61
99,19900,20.485954,4.78,482.97
100,20101,20.460318,4.78,488.33
101,20302,20.442139,4.77,493.67
102,20503,20.424748,4.81,499.06
103,20704,20.386807,4.74,504.38
104,20905,20.374680,4.76,509.70
105,21106,20.364616,4.82,515.10
106,21307,20.347089,4.80,520.47
107,21508,20.330498,4.84,525.89
108,21709,20.330199,4.75,531.22
109,21910,20.313959,4.77,536.57
110,22111,20.303940,4.76,541.90
111,22312,20.287033,4.75,547.22
112,22513,20.270628,4.80,552.61
113,22714,20.250911,4.79,557.97
114,22915,20.244580,4.85,563.40
115,23116,20.218164,4.71,568.69
116,23317,20.211608,4.87,574.14
117,23518,20.198698,4.74,579.45
118,23719,20.178946,4.86,584.88
119,23920,20.173108,4.75,590.21
120,24121,20.162244,4.79,595.56
121,24322,20.139053,4.85,600.98
122,24523,20.142506,4.77,606.33
123,24724,20.110960,4.76,611.09
124,24925,20.105812,4.76,616.43
125,25126,20.095784,4.90,621.90
126,25327,20.078839,4.82,627.29
127,25528,20.063452,4.78,632.64
128,25729,0.160059,4.78,637.99
