# --- Attack Parameters ---
# {
#     "executable": "/temp/resources/execution_files/emotion_ferplus_mnn",
#     "image": "/img_align_celeba/010103.jpg",
#     "hooks": "/temp/hook_config/emotion_ferplus_mnn_hook_config.json",
#     "model": [
#         "/temp/resources/models/emotion_ferplus.mnn"
#     ],
#     "models": null,
#     "iterations": 200,
#     "learning_rate": 2.0,
#     "l_inf_norm": 16.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.05,
#     "population_size": 200,
#     "sigma": 0.6,
#     "enable_stagnation_decay": true,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_fitness_shaping": true,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "enable_dynamic_focus": true,
#     "evaluation_window": 10,
#     "boost_weight": 12.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/temp/outputs/emotion_ferplus_mnn_attack_results/010103_attacked",
#     "model_paths": [
#         "/temp/resources/models/emotion_ferplus.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,202,10.547601,inf,2.000000,False,0,2,scouting,"None","",5.75,6.26
2,403,10.545121,10.547601,2.000000,False,0,2,scouting,"None","",5.84,12.80
3,604,10.540242,10.545121,2.000000,False,0,2,scouting,"None","",5.76,19.25
4,805,10.533187,10.540242,2.000000,False,0,2,scouting,"None","",5.69,25.64
5,1006,10.518892,10.533187,2.000000,False,0,2,scouting,"None","",5.76,32.10
6,1207,10.488554,10.518892,2.000000,False,0,2,scouting,"None","",5.88,38.68
7,1408,10.446538,10.488554,2.000000,False,0,2,scouting,"None","",5.77,45.15
8,1609,10.353402,10.446538,2.000000,False,0,2,scouting,"None","",5.77,51.62
9,1810,10.266891,10.353402,2.000000,False,0,2,scouting,"None","",5.80,58.11
10,2011,10.173578,10.266891,2.000000,False,0,2,scouting,"None","",5.73,64.54
11,2212,11.106440,10.173578,2.000000,False,0,2,focused_fire,"0x2224","",5.83,71.08
12,2413,0.634090,10.173578,2.000000,False,0,2,focused_fire,"0x2224","",5.67,76.75
13,2614,0.065845,0.634090,2.000000,False,1,2,focused_fire,"0x2224","",5.85,83.30
14,2815,0.005128,0.065845,2.000000,True,2,2,focused_fire,"0x2224","{"0x2224": {"loss": 0.0, "satisfied": true}, "0x223c": {"loss": 0.005128, "satisfied": true}}",5.78,89.77
