# --- Attack Parameters ---
# {
#     "attack_type": "nes",
#     "executable": "./resources/execution_files/liveness_Vit_mnn",
#     "image": "/model_deploy_execution_attack/resources/filtered_images/n000708-0336_01.jpg",
#     "hooks": "/model_deploy_execution_attack/hook_config/liveness_Vit_mnn_hook_config.json",
#     "model": null,
#     "models": "/model_deploy_execution_attack/resources/models/liveness_Vit.mnn",
#     "iterations": 200,
#     "l_inf_norm": 20.0,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.001,
#     "enable_stagnation_decay": true,
#     "learning_rate": 5.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_dynamic_focus": false,
#     "evaluation_window": 10,
#     "boost_weight": 10.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/model_deploy_execution_attack/attack_results/liveness_Vit_mnn_nes_n000708-0336_01_20250910-234106",
#     "population_size": 50,
#     "sigma": 0.6,
#     "enable_fitness_shaping": true,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "model_paths": [
#         "/model_deploy_execution_attack/resources/models/liveness_Vit.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,52,0.142226,0.129546,5.000000,False,0,1,static,"N/A","",7.91,9.56
2,103,0.153192,0.129546,5.000000,False,0,1,static,"N/A","",7.90,17.48
3,154,0.152034,0.129546,5.000000,False,0,1,static,"N/A","",7.82,25.32
4,205,0.153167,0.129546,5.000000,False,0,1,static,"N/A","",7.90,33.23
5,256,0.148350,0.129546,5.000000,False,0,1,static,"N/A","",7.94,41.18
6,307,0.144436,0.129546,5.000000,False,0,1,static,"N/A","",7.93,49.12
7,358,0.136962,0.129546,5.000000,False,0,1,static,"N/A","",7.91,57.05
8,409,0.132528,0.129546,5.000000,False,0,1,static,"N/A","",7.92,64.98
9,460,0.131395,0.129546,5.000000,False,0,1,static,"N/A","",7.98,72.97
10,511,0.127191,0.129546,5.000000,False,0,1,static,"N/A","",7.94,80.93
11,562,0.123977,0.127191,5.000000,False,0,1,static,"N/A","",7.92,88.87
12,613,0.119737,0.123977,5.000000,False,0,1,static,"N/A","",7.93,96.82
13,664,0.116863,0.119737,5.000000,False,0,1,static,"N/A","",7.94,104.79
14,715,0.114287,0.116863,5.000000,False,0,1,static,"N/A","",7.92,112.74
15,766,0.113344,0.114287,5.000000,False,0,1,static,"N/A","",7.90,120.67
16,817,0.110972,0.113344,5.000000,False,0,1,static,"N/A","",7.95,128.64
17,868,0.107478,0.110972,5.000000,False,0,1,static,"N/A","",7.95,136.61
18,919,0.104051,0.107478,5.000000,False,0,1,static,"N/A","",7.92,144.55
19,970,0.102098,0.104051,5.000000,False,0,1,static,"N/A","",7.90,152.48
20,1021,0.099526,0.102098,5.000000,False,0,1,static,"N/A","",7.94,160.44
21,1072,0.096795,0.099526,5.000000,False,0,1,static,"N/A","",7.90,168.37
22,1123,0.092946,0.096795,5.000000,False,0,1,static,"N/A","",7.90,176.29
23,1174,0.091268,0.092946,5.000000,False,0,1,static,"N/A","",7.92,184.23
24,1225,0.087033,0.091268,5.000000,False,0,1,static,"N/A","",7.88,192.14
25,1276,0.083755,0.087033,5.000000,False,0,1,static,"N/A","",7.91,200.07
26,1327,0.082365,0.083755,5.000000,False,0,1,static,"N/A","",7.86,207.95
27,1378,0.079135,0.082365,5.000000,False,0,1,static,"N/A","",7.90,215.88
28,1429,0.077786,0.079135,5.000000,False,0,1,static,"N/A","",7.92,223.82
29,1480,0.075951,0.077786,5.000000,False,0,1,static,"N/A","",7.91,231.76
30,1531,0.072916,0.075951,5.000000,False,0,1,static,"N/A","",7.92,239.71
31,1582,0.071612,0.072916,5.000000,False,0,1,static,"N/A","",7.93,247.66
32,1633,0.069261,0.071612,5.000000,False,0,1,static,"N/A","",7.94,255.63
33,1684,0.066732,0.069261,5.000000,False,0,1,static,"N/A","",7.90,263.56
34,1735,0.065501,0.066732,5.000000,False,0,1,static,"N/A","",7.87,271.45
35,1786,0.062997,0.065501,5.000000,False,0,1,static,"N/A","",7.86,279.34
36,1837,0.061101,0.062997,5.000000,False,0,1,static,"N/A","",7.88,287.24
37,1888,0.058836,0.061101,5.000000,False,0,1,static,"N/A","",7.90,295.17
38,1939,0.056551,0.058836,5.000000,False,0,1,static,"N/A","",7.91,303.10
39,1990,0.055334,0.056551,5.000000,False,0,1,static,"N/A","",7.90,311.03
40,2041,0.053119,0.055334,5.000000,False,0,1,static,"N/A","",7.89,318.95
41,2092,0.051696,0.053119,5.000000,False,0,1,static,"N/A","",7.97,326.94
42,2143,0.050585,0.051696,5.000000,False,0,1,static,"N/A","",7.90,334.87
43,2194,0.049585,0.050585,5.000000,False,0,1,static,"N/A","",7.89,342.79
44,2245,0.048499,0.049585,5.000000,False,0,1,static,"N/A","",7.92,350.74
45,2296,0.046830,0.048499,5.000000,False,0,1,static,"N/A","",7.93,358.69
46,2347,0.045341,0.046830,5.000000,False,0,1,static,"N/A","",7.92,366.63
47,2398,0.043215,0.045341,5.000000,False,0,1,static,"N/A","",7.93,374.59
48,2449,0.040918,0.043215,5.000000,False,0,1,static,"N/A","",7.90,382.51
49,2500,0.038830,0.040918,5.000000,False,0,1,static,"N/A","",7.89,390.43
50,2551,0.036599,0.038830,5.000000,False,0,1,static,"N/A","",7.91,398.36
51,2602,0.034083,0.036599,4.850000,False,0,1,static,"N/A","",7.91,406.29
52,2653,0.031800,0.034083,4.850000,False,0,1,static,"N/A","",7.88,414.20
53,2704,0.030203,0.031800,4.850000,False,0,1,static,"N/A","",7.89,422.12
54,2755,0.028884,0.030203,4.850000,False,0,1,static,"N/A","",7.91,430.06
55,2806,0.027422,0.028884,4.850000,False,0,1,static,"N/A","",7.92,438.01
56,2857,0.025689,0.027422,4.850000,False,0,1,static,"N/A","",7.88,445.92
57,2908,0.024515,0.025689,4.850000,False,0,1,static,"N/A","",7.90,453.84
58,2959,0.023212,0.024515,4.850000,False,0,1,static,"N/A","",7.99,461.85
59,3010,0.022181,0.023212,4.850000,False,0,1,static,"N/A","",7.93,469.81
60,3061,0.020688,0.022181,4.850000,False,0,1,static,"N/A","",7.88,477.72
61,3112,0.019925,0.020688,4.850000,False,0,1,static,"N/A","",7.87,485.62
