# --- Attack Parameters ---
# {
#     "executable": "/temp/resources/execution_files/gender_googlenet_mnn",
#     "image": "/img_align_celeba/041827.jpg",
#     "hooks": "/temp/hook_config/gender_googlenet_mnn_hook_config.json",
#     "model": [
#         "/temp/resources/models/gender_googlenet.mnn"
#     ],
#     "models": null,
#     "iterations": 200,
#     "learning_rate": 2.0,
#     "l_inf_norm": 16.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.05,
#     "population_size": 200,
#     "sigma": 0.6,
#     "enable_stagnation_decay": true,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_fitness_shaping": true,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "enable_dynamic_focus": true,
#     "evaluation_window": 10,
#     "boost_weight": 12.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/temp/outputs/gender_googlenet_mnn_attack_results/041827_attacked",
#     "model_paths": [
#         "/temp/resources/models/gender_googlenet.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,202,40.678188,inf,2.000000,False,1,6,scouting,"None","",5.66,6.18
2,403,40.638356,40.678188,2.000000,False,1,6,scouting,"None","",5.62,12.49
3,604,40.601962,40.638356,2.000000,False,1,6,scouting,"None","",5.71,18.89
4,805,40.552893,40.601962,2.000000,False,1,6,scouting,"None","",5.67,25.25
5,1006,40.504669,40.552893,2.000000,False,1,6,scouting,"None","",5.57,31.51
6,1207,40.450307,40.504669,2.000000,False,1,6,scouting,"None","",5.68,37.88
7,1408,40.393634,40.450307,2.000000,False,1,6,scouting,"None","",5.59,44.16
8,1609,40.336406,40.393634,2.000000,False,1,6,scouting,"None","",5.59,50.44
9,1810,40.276839,40.336406,2.000000,False,1,6,scouting,"None","",5.73,56.85
10,2011,40.220294,40.276839,2.000000,False,1,6,scouting,"None","",5.66,63.20
11,2212,42.022429,40.220294,2.000000,False,1,6,focused_fire,"0x2054","",5.58,69.47
12,2413,41.370200,40.220294,2.000000,False,1,6,focused_fire,"0x2054","",5.67,75.14
13,2614,40.750480,40.220294,2.000000,False,1,6,focused_fire,"0x2054","",5.68,80.82
14,2815,30.286170,40.220294,2.000000,True,1,6,focused_fire,"0x2054","{"0x2034": {"loss": 10.0, "satisfied": false}, "0x2040": {"loss": 10.0, "satisfied": false}, "0x2054": {"loss": 0.020294, "satisfied": false}, "0x2060": {"loss": 10.0, "satisfied": false}, "0x2070": {"loss": 0.0025, "satisfied": true}, "0x207c": {"loss": 0.035147, "satisfied": false}}",5.54,86.37
