# --- Attack Parameters ---
# {
#     "executable": "./resources/execution_files/age_googlenet_mnn",
#     "image": "/img_align_celeba/189986.jpg",
#     "hooks": "/temp/hook_config/age_googlenet_mnn_hook_config.json",
#     "model": [
#         "/temp/resources/models/age_googlenet.mnn"
#     ],
#     "models": null,
#     "iterations": 100,
#     "learning_rate": 5.0,
#     "l_inf_norm": 30.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.05,
#     "population_size": 200,
#     "sigma": 0.6,
#     "enable_stagnation_decay": true,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_fitness_shaping": true,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "enable_dynamic_focus": true,
#     "evaluation_window": 10,
#     "boost_weight": 12.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/temp/outputs/age_googlenet_mnn_attack_results/189986_attacked",
#     "model_paths": [
#         "/temp/resources/models/age_googlenet.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,202,40.940405,inf,5.000000,False,1,6,scouting,"None","",5.80,6.36
2,403,40.923200,40.940405,5.000000,False,1,6,scouting,"None","",5.88,13.02
3,604,40.904081,40.923200,5.000000,False,1,6,scouting,"None","",5.79,19.59
4,805,40.884414,40.904081,5.000000,False,1,6,scouting,"None","",5.85,26.24
5,1006,40.863252,40.884414,5.000000,False,1,6,scouting,"None","",5.76,32.77
6,1207,40.839064,40.863252,5.000000,False,1,6,scouting,"None","",5.71,39.26
7,1408,40.814199,40.839064,5.000000,False,1,6,scouting,"None","",5.79,45.85
8,1609,40.791168,40.814199,5.000000,False,1,6,scouting,"None","",5.72,52.35
9,1810,40.769805,40.791168,5.000000,False,1,6,scouting,"None","",5.77,58.91
10,2011,40.749378,40.769805,5.000000,False,1,6,scouting,"None","",5.76,65.45
11,2212,48.744141,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.79,72.01
12,2413,48.499700,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.78,77.79
13,2614,48.246939,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.78,83.57
14,2815,47.990654,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.82,89.40
15,3016,47.757888,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.79,95.18
16,3217,47.508635,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.82,101.01
17,3418,47.265376,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.77,106.78
18,3619,47.016085,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.73,112.52
19,3820,46.784232,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.74,118.26
20,4021,46.564353,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.77,124.03
21,4222,46.336955,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.79,129.82
22,4423,46.123771,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.81,135.63
23,4624,45.893429,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.75,141.39
24,4825,45.672846,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.70,147.09
25,5026,45.440011,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.79,152.89
26,5227,45.229827,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.81,158.70
27,5428,45.029742,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.87,164.57
28,5629,44.830453,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.71,170.28
29,5830,44.653183,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.88,176.17
30,6031,44.469762,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.77,181.94
31,6232,44.308547,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.72,187.66
32,6433,44.135273,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.71,193.37
33,6634,43.985056,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.84,199.22
34,6835,43.831596,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.73,204.95
35,7036,43.695347,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.72,210.68
36,7237,43.559584,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.76,216.44
37,7438,43.416664,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.75,222.19
38,7639,43.280715,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.73,227.93
39,7840,43.156172,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.80,233.73
40,8041,43.040413,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.76,239.49
41,8242,42.909281,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.75,245.24
42,8443,42.785738,40.749378,5.000000,False,1,6,focused_fire,"0x233c","",5.86,251.10
