iteration,total_queries,loss,iter_time_s,total_time_s
1,202,30.113114,4.69,5.14
2,403,30.097352,4.77,10.46
3,604,30.129014,4.66,15.68
4,805,30.085139,4.68,20.36
5,1006,30.078421,4.74,25.65
6,1207,30.421943,4.81,31.02
7,1408,30.384980,4.75,35.78
8,1609,30.371766,4.69,40.47
9,1810,30.232915,4.69,45.16
10,2011,30.218693,4.81,49.97
11,2212,30.283673,4.78,54.75
12,2413,30.192447,4.67,59.42
13,2614,30.186681,4.74,64.16
14,2815,30.152900,4.75,68.91
15,3016,30.131051,4.68,73.59
16,3217,30.079892,4.71,78.30
17,3418,20.935996,4.67,82.97
18,3619,20.901089,4.75,88.30
19,3820,20.892450,4.70,93.58
20,4021,20.878807,4.82,98.96
21,4222,20.876042,4.75,104.28
22,4423,20.874933,4.80,109.65
23,4624,20.871625,4.87,115.10
24,4825,20.869740,4.74,120.42
25,5026,25.204652,4.79,125.78
26,5227,25.193749,4.70,130.48
27,5428,25.173191,4.75,135.24
28,5629,25.151690,4.77,140.01
29,5830,25.125017,4.84,144.85
30,6031,25.105191,4.77,149.62
31,6232,25.078362,4.74,154.36
32,6433,25.057655,4.77,159.14
33,6634,25.037794,4.76,163.90
34,6835,25.017040,4.80,168.70
35,7036,24.992618,4.77,173.47
36,7237,24.965968,4.78,178.26
37,7438,24.953640,4.78,183.04
38,7639,24.929189,4.77,187.81
39,7840,24.910607,4.76,192.57
40,8041,24.877786,4.86,197.43
41,8242,24.853463,4.79,202.23
42,8443,24.822073,4.75,206.98
43,8644,24.807362,4.79,211.77
44,8845,24.783730,4.73,216.50
45,9046,24.761084,4.82,221.32
46,9247,24.733811,4.79,226.11
47,9448,24.719350,4.86,230.97
48,9649,24.693209,4.73,235.71
49,9850,24.660859,4.90,240.60
50,10051,24.637970,4.79,245.39
51,10252,24.611867,4.80,250.20
52,10453,24.590463,4.75,254.95
53,10654,24.556153,4.82,259.78
54,10855,24.531249,4.83,264.61
55,11056,24.505777,4.77,269.38
56,11257,24.482570,4.76,274.14
57,11458,24.457862,4.70,278.85
58,11659,24.433080,4.72,283.56
59,11860,24.399195,4.80,288.37
60,12061,24.374516,4.74,293.11
61,12262,24.350358,4.78,297.89
62,12463,24.329443,4.84,302.73
63,12664,24.287930,4.91,307.64
64,12865,24.260669,4.77,312.41
65,13066,24.229567,4.80,317.22
66,13267,24.209627,4.73,321.95
67,13468,24.181506,4.75,326.69
68,13669,24.148043,4.73,331.43
69,13870,24.115787,4.76,336.19
70,14071,24.097014,4.79,340.98
71,14272,24.070443,4.77,345.76
72,14473,24.036629,4.80,350.56
73,14674,24.015208,4.79,355.35
74,14875,23.982570,4.76,360.11
75,15076,23.960028,4.77,364.89
76,15277,23.927438,4.72,369.61
77,15478,23.911643,4.79,374.40
78,15679,23.888621,4.85,379.25
79,15880,23.868564,4.77,384.02
80,16081,23.856707,4.76,388.78
81,16282,23.831293,4.88,393.66
82,16483,23.812540,4.79,398.45
83,16684,23.797974,4.73,403.18
84,16885,23.781108,4.77,407.96
85,17086,23.766176,4.82,412.78
86,17287,23.744964,4.73,417.51
87,17488,23.733262,4.81,422.33
88,17689,23.719425,4.85,427.18
89,17890,23.699866,4.75,431.93
90,18091,23.681058,4.74,436.67
91,18292,23.667326,4.83,441.50
92,18493,23.649342,4.77,446.28
93,18694,23.645710,4.85,451.13
94,18895,23.632799,4.80,455.93
95,19096,23.613519,4.82,460.75
96,19297,23.607442,4.78,465.53
97,19498,23.589159,4.80,470.33
98,19699,23.586174,4.85,475.19
99,19900,23.567805,4.78,479.97
100,20101,23.560601,4.87,484.84
101,20302,23.547475,4.83,489.68
102,20503,23.541804,4.83,494.51
103,20704,23.523987,4.78,499.30
104,20905,23.516694,4.85,504.15
105,21106,23.501400,4.78,508.93
106,21307,23.495385,4.78,513.72
107,21508,23.483776,4.77,518.49
108,21709,23.478743,4.76,523.25
109,21910,23.479450,4.79,528.04
110,22111,23.457527,4.77,532.81
111,22312,23.447256,4.81,537.62
112,22513,23.438414,4.82,542.44
113,22714,23.434379,4.85,547.30
114,22915,23.429815,4.77,552.07
115,23116,23.417958,4.88,556.95
116,23317,23.420968,4.78,561.74
117,23518,23.405564,4.82,566.56
118,23719,23.407174,4.77,571.34
119,23920,23.390433,4.77,576.11
120,24121,23.393690,4.80,580.91
121,24322,23.377868,4.81,585.72
122,24523,23.381500,4.78,590.51
123,24724,23.375637,4.80,595.31
124,24925,23.367174,4.84,600.16
125,25126,23.360258,4.84,605.00
126,25327,23.352172,4.76,609.77
127,25528,23.350844,4.82,614.59
128,25729,23.339297,4.79,619.38
129,25930,23.327886,4.82,624.21
130,26131,23.334273,4.71,628.92
131,26332,23.310852,4.78,633.70
132,26533,23.307760,4.81,638.51
133,26734,23.299125,4.80,643.31
134,26935,23.293830,4.79,648.11
135,27136,23.282999,4.84,652.95
136,27337,23.281747,4.83,657.78
137,27538,23.281912,4.84,662.62
138,27739,23.266231,4.80,667.43
139,27940,23.259657,4.82,672.26
140,28141,23.252744,4.79,677.05
141,28342,23.245543,4.87,681.92
142,28543,23.240914,4.80,686.72
143,28744,23.226668,4.77,691.50
144,28945,23.214251,4.89,696.39
145,29146,23.210447,4.78,701.18
146,29347,23.203510,4.75,705.93
147,29548,23.190741,4.84,710.77
148,29749,23.182680,4.86,715.63
149,29950,23.170483,4.75,720.38
150,30151,23.166322,4.83,725.22
151,30352,23.155521,4.77,729.99
152,30553,23.145691,4.86,734.86
153,30754,23.141512,4.82,739.68
154,30955,23.136481,4.75,744.43
155,31156,23.126705,4.84,749.27
156,31357,23.113035,4.82,754.10
157,31558,23.112812,4.81,758.91
158,31759,23.092225,4.74,763.65
159,31960,23.089465,4.79,768.44
160,32161,23.086960,4.81,773.26
161,32362,23.072127,4.81,778.07
162,32563,23.054796,4.78,782.85
163,32764,23.045547,4.87,787.72
164,32965,23.037667,4.80,792.52
165,33166,23.032656,4.81,797.33
166,33367,23.022545,4.75,802.08
167,33568,23.015335,4.84,806.92
168,33769,23.009164,4.77,811.69
169,33970,23.009112,4.80,816.50
170,34171,23.000369,4.72,821.22
171,34372,22.999223,4.79,826.02
172,34573,22.991839,4.81,830.83
173,34774,22.994061,4.82,835.66
174,34975,22.993046,4.87,840.52
175,35176,22.988115,4.84,845.36
176,35377,22.974478,4.79,850.16
177,35578,22.970949,4.76,854.92
178,35779,22.969224,4.85,859.77
179,35980,22.964772,4.79,864.56
180,36181,22.971874,4.78,869.35
181,36382,22.976966,4.76,874.11
182,36583,22.975022,4.83,878.94
183,36784,22.966489,4.81,883.76
184,36985,22.954858,4.79,888.55
185,37186,22.954773,4.82,893.37
186,37387,22.947725,4.79,898.16
187,37588,22.945155,4.85,903.01
188,37789,22.938391,4.80,907.82
189,37990,22.929575,4.85,912.67
190,38191,22.922989,4.85,917.52
191,38392,22.910868,4.81,922.33
192,38593,22.909827,4.80,927.14
193,38794,22.897715,4.77,931.91
194,38995,22.902340,4.78,936.69
195,39196,22.883197,4.92,941.61
196,39397,22.883750,4.78,946.39
197,39598,22.882193,4.83,951.22
198,39799,22.890692,4.74,955.96
199,40000,22.877233,4.83,960.79
200,40201,22.887321,4.78,965.57
201,40402,22.881265,4.80,970.37
202,40603,22.867029,4.86,975.23
203,40804,22.865418,4.75,979.98
204,41005,22.868697,4.87,984.86
205,41206,22.862276,4.87,989.73
206,41407,22.854532,4.80,994.53
207,41608,22.863944,4.77,999.30
208,41809,22.861768,4.74,1004.04
209,42010,22.860453,4.76,1008.80
210,42211,22.853508,4.81,1013.62
211,42412,22.849926,4.73,1018.34
212,42613,22.842878,4.73,1023.08
213,42814,22.842352,4.76,1027.84
214,43015,22.845416,4.80,1032.64
215,43216,22.851262,4.83,1037.47
216,43417,22.852665,4.77,1042.24
