# --- Attack Parameters ---
# {
#     "executable": "/temp/resources/execution_files/gender_googlenet_mnn",
#     "image": "/img_align_celeba/095690.jpg",
#     "hooks": "/temp/hook_config/gender_googlenet_mnn_hook_config.json",
#     "model": [
#         "/temp/resources/models/gender_googlenet.mnn"
#     ],
#     "models": null,
#     "iterations": 200,
#     "learning_rate": 2.0,
#     "l_inf_norm": 16.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.05,
#     "population_size": 200,
#     "sigma": 0.6,
#     "enable_stagnation_decay": true,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_fitness_shaping": true,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "enable_dynamic_focus": true,
#     "evaluation_window": 10,
#     "boost_weight": 12.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/temp/outputs/gender_googlenet_mnn_attack_results/095690_attacked",
#     "model_paths": [
#         "/temp/resources/models/gender_googlenet.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,202,40.662314,inf,2.000000,False,1,6,scouting,"None","",5.76,6.28
2,403,40.621791,40.662314,2.000000,False,1,6,scouting,"None","",5.68,12.64
3,604,40.575951,40.621791,2.000000,False,1,6,scouting,"None","",5.59,18.91
4,805,40.527039,40.575951,2.000000,False,1,6,scouting,"None","",5.55,25.15
5,1006,40.473887,40.527039,2.000000,False,1,6,scouting,"None","",5.53,31.38
6,1207,40.418842,40.473887,2.000000,False,1,6,scouting,"None","",5.53,37.59
7,1408,40.359631,40.418842,2.000000,False,1,6,scouting,"None","",5.51,43.77
8,1609,40.295478,40.359631,2.000000,False,1,6,scouting,"None","",5.58,50.04
9,1810,40.232678,40.295478,2.000000,False,1,6,scouting,"None","",5.57,56.32
10,2011,40.171626,40.232678,2.000000,False,1,6,scouting,"None","",5.55,62.55
11,2212,41.344695,40.171626,2.000000,False,1,6,focused_fire,"0x2054","",5.67,68.91
12,2413,40.674018,40.171626,2.000000,False,1,6,focused_fire,"0x2054","",5.62,74.53
13,2614,30.148818,40.171626,2.000000,True,2,6,focused_fire,"0x2054","{"0x2034": {"loss": 10.0, "satisfied": false}, "0x2040": {"loss": 10.0, "satisfied": false}, "0x2054": {"loss": 0.009305, "satisfied": true}, "0x2060": {"loss": 10.0, "satisfied": false}, "0x2070": {"loss": 0.0025, "satisfied": true}, "0x207c": {"loss": 0.029653, "satisfied": false}}",5.56,80.09
