iteration,total_queries,loss,iter_time_s,total_time_s
1,202,61.586981,4.72,5.15
2,403,60.959673,4.63,10.32
3,604,60.220092,4.61,15.48
4,805,59.578964,4.63,20.64
5,1006,59.022945,4.63,25.82
6,1207,100.421820,4.58,30.96
7,1408,97.840926,4.71,35.67
8,1609,95.696120,4.66,40.33
9,1810,92.035945,4.67,45.01
10,2011,88.344939,4.65,49.66
11,2212,85.994414,4.64,54.30
12,2413,84.030757,4.60,58.90
13,2614,80.587950,4.62,63.52
14,2815,77.068034,4.64,68.16
15,3016,73.411464,4.65,72.81
16,3217,69.811552,4.63,77.44
17,3418,66.043311,4.63,82.08
18,3619,62.396479,4.58,86.66
19,3820,59.684447,4.65,91.30
20,4021,56.958842,4.57,95.87
21,4222,54.511683,4.63,101.04
22,4423,51.579821,4.60,106.18
23,4624,20.710888,4.64,111.36
24,4825,20.710662,4.81,116.73
25,5026,20.701498,4.72,122.02
26,5227,20.693266,4.84,127.44
27,5428,20.687588,4.79,132.81
28,5629,20.677865,4.74,138.15
29,5830,20.664438,4.72,143.43
30,6031,20.655451,4.68,148.70
31,6232,23.853754,4.69,153.96
32,6433,23.780961,4.80,158.76
33,6634,24.076910,4.74,163.50
34,6835,23.650057,4.79,168.30
35,7036,23.584276,4.72,173.02
36,7237,23.503148,4.78,177.79
37,7438,23.422955,4.69,182.48
38,7639,23.341308,4.80,187.28
39,7840,23.310547,4.73,192.01
40,8041,23.222294,4.78,196.79
41,8242,23.161502,4.70,201.49
42,8443,23.079215,4.77,206.27
43,8644,23.019631,4.73,211.00
44,8845,22.978046,4.80,215.80
45,9046,22.901580,4.80,220.61
46,9247,22.839816,4.80,225.41
47,9448,22.787725,4.68,230.09
48,9649,22.747164,4.75,234.84
49,9850,22.700226,4.76,239.60
50,10051,22.673577,4.75,244.35
51,10252,22.619852,4.77,249.13
52,10453,22.578240,4.79,253.92
53,10654,22.559994,4.72,258.64
54,10855,22.502289,4.79,263.44
55,11056,22.457581,4.80,268.24
56,11257,22.410065,4.74,272.98
57,11458,22.375546,4.78,277.76
58,11659,22.340306,4.78,282.54
59,11860,22.301014,4.81,287.36
60,12061,22.270502,4.82,292.18
61,12262,22.226054,4.80,296.98
62,12463,22.197498,4.70,301.68
63,12664,22.160404,4.77,306.45
64,12865,22.112238,4.74,311.19
65,13066,22.080553,4.78,315.97
66,13267,22.054568,4.75,320.72
67,13468,22.024886,4.81,325.54
68,13669,21.985656,4.85,330.39
69,13870,21.948320,4.82,335.21
70,14071,21.934113,4.71,339.92
71,14272,21.903928,4.77,344.69
72,14473,21.880133,4.77,349.46
73,14674,21.840728,4.72,354.18
74,14875,21.806830,4.83,359.01
75,15076,21.773082,4.81,363.82
76,15277,21.751201,4.76,368.59
77,15478,21.725012,4.71,373.30
78,15679,21.701838,4.70,378.00
79,15880,21.695026,4.75,382.75
80,16081,21.669266,4.74,387.50
81,16282,21.649259,4.72,392.22
82,16483,21.618672,4.80,397.02
83,16684,21.600231,4.72,401.74
84,16885,21.587519,4.76,406.50
85,17086,21.558043,4.81,411.31
86,17287,21.546845,4.74,416.05
87,17488,21.524171,4.89,420.95
88,17689,21.501375,4.80,425.75
89,17890,21.483785,4.84,430.59
90,18091,21.467245,4.83,435.42
91,18292,21.446904,4.73,440.15
92,18493,21.443496,4.74,444.90
93,18694,21.420782,4.84,449.74
94,18895,21.407576,4.73,454.48
95,19096,21.388864,4.80,459.28
96,19297,21.379628,4.67,463.96
97,19498,21.367318,4.85,468.81
98,19699,21.379867,4.82,473.63
99,19900,21.355931,4.72,478.35
100,20101,21.357134,4.71,483.06
101,20302,21.329327,4.69,487.76
102,20503,21.294247,4.84,492.60
103,20704,21.290921,4.78,497.38
104,20905,21.294311,4.77,502.16
105,21106,21.272833,4.81,506.97
106,21307,21.273875,4.71,511.68
107,21508,21.274679,4.77,516.45
108,21709,21.255230,4.74,521.19
109,21910,21.241427,4.75,525.94
110,22111,21.225333,4.78,530.72
111,22312,21.214908,4.68,535.40
112,22513,21.187784,4.69,540.10
113,22714,21.171248,4.79,544.89
114,22915,21.180428,4.83,549.73
115,23116,21.165753,4.70,554.43
116,23317,21.154852,4.76,559.19
117,23518,21.131809,4.75,563.94
118,23719,21.128662,4.72,568.66
119,23920,21.118555,4.78,573.44
120,24121,21.109008,4.82,578.26
121,24322,21.107200,4.78,583.04
122,24523,21.094954,4.75,587.79
123,24724,21.079286,4.84,592.63
124,24925,21.091964,4.80,597.43
125,25126,21.077238,4.78,602.21
126,25327,21.068784,4.79,607.00
127,25528,21.048986,4.76,611.76
128,25729,21.042551,4.73,616.49
129,25930,21.048172,4.79,621.29
130,26131,21.048658,4.78,626.07
131,26332,21.023244,4.77,630.84
132,26533,21.012853,4.69,635.54
133,26734,21.016827,4.74,640.28
134,26935,21.022150,4.75,645.03
135,27136,21.005569,4.80,649.83
136,27337,20.976847,4.84,654.67
137,27538,20.964237,4.74,659.41
138,27739,20.964169,4.75,664.17
139,27940,20.968692,4.72,668.90
140,28141,20.944534,4.74,673.64
141,28342,20.938331,4.69,678.33
142,28543,20.910635,4.84,683.18
143,28744,20.967391,4.74,687.92
144,28945,20.923552,4.71,692.63
145,29146,20.926863,4.69,697.32
146,29347,20.919508,4.73,702.05
147,29548,159.403497,4.72,706.77
148,29749,20.910090,4.80,711.57
149,29950,20.951861,4.79,716.36
150,30151,20.911714,4.79,721.15
151,30352,20.900217,4.69,725.84
152,30553,20.925635,4.80,730.65
153,30754,20.888493,4.74,735.39
154,30955,20.897063,4.77,740.16
155,31156,20.887776,4.72,744.88
156,31357,20.871412,4.75,749.63
157,31558,20.849041,4.79,754.42
158,31759,20.854133,4.71,759.14
159,31960,20.833261,4.80,763.94
160,32161,20.810113,4.80,768.74
161,32362,20.818148,4.76,773.51
162,32563,20.809490,4.73,778.24
163,32764,20.789037,4.79,783.03
164,32965,20.785546,4.84,787.87
165,33166,20.774954,4.67,792.54
166,33367,20.797450,4.75,797.30
167,33568,20.778273,4.72,802.02
168,33769,20.773085,4.74,806.76
169,33970,20.769910,4.73,811.49
170,34171,20.756471,4.75,816.24
171,34372,20.756628,4.79,821.03
172,34573,20.747064,4.79,825.82
173,34774,20.733423,4.75,830.57
174,34975,20.726507,4.72,835.29
175,35176,20.701891,4.77,840.06
176,35377,20.692634,4.74,844.80
177,35578,20.687843,4.77,849.57
178,35779,20.672714,4.77,854.35
179,35980,20.672466,4.80,859.15
180,36181,20.650834,4.76,863.91
181,36382,140.131257,4.75,869.23
182,36583,20.663761,4.74,873.98
183,36784,20.632739,4.77,878.75
184,36985,20.651622,4.78,884.09
185,37186,20.604089,4.73,888.82
186,37387,20.605075,4.76,894.17
187,37588,20.596672,4.73,898.90
188,37789,20.578763,4.79,904.26
