iteration,total_queries,loss,iter_time_s,total_time_s
177,35578,20.889515,4.80,852.35
178,35779,20.881860,4.76,857.11
179,35980,20.870037,4.88,862.00
180,36181,20.863206,4.86,866.86
181,36382,20.850649,4.79,871.65
182,36583,20.833794,4.76,876.41
183,36784,20.827388,4.76,881.74
184,36985,20.820697,4.84,887.15
185,37186,20.809847,4.74,892.45
186,37387,20.798675,4.81,897.84
187,37588,20.789958,4.79,903.20
188,37789,20.786294,4.80,908.58
189,37990,20.777535,4.85,914.00
190,38191,20.766702,4.76,919.33
191,38392,20.753464,4.86,924.77
192,38593,20.738732,4.81,930.16
193,38794,20.730163,4.81,935.54
194,38995,20.724536,4.75,940.86
195,39196,20.710175,4.74,946.17
196,39397,20.702742,4.76,951.50
197,39598,20.702134,4.78,956.85
198,39799,20.698405,4.70,962.13
199,40000,20.680576,4.82,967.54
200,40201,20.673630,4.76,972.87
201,40402,20.667662,4.75,978.19
202,40603,20.658426,4.73,983.49
203,40804,20.647589,4.75,988.82
204,41005,20.643822,4.85,994.25
205,41206,20.625059,4.73,999.56
206,41407,20.627169,4.69,1004.82
207,41608,20.617754,4.79,1009.62
208,41809,20.614004,4.73,1014.92
209,42010,20.607305,4.71,1020.19
210,42211,20.595746,4.77,1025.53
211,42412,20.587498,4.81,1030.91
212,42613,20.572547,4.79,1036.28
213,42814,20.557691,4.75,1041.61
214,43015,20.566094,4.82,1047.00
215,43216,20.547328,4.75,1051.75
216,43417,20.559632,4.86,1057.18
217,43618,20.537462,4.76,1061.94
218,43819,20.536888,4.75,1067.26
219,44020,20.530882,4.79,1072.63
220,44221,20.536733,4.80,1078.01
221,44422,20.530116,4.74,1082.74
222,44623,20.532223,4.86,1088.18
223,44824,20.527617,4.80,1092.99
224,45025,20.527921,4.76,1098.33
225,45226,20.522566,4.81,1103.14
226,45427,20.517199,4.76,1108.47
227,45628,20.525616,4.70,1113.76
228,45829,20.518250,4.82,1118.57
229,46030,20.516548,4.76,1123.33
230,46231,20.512859,4.75,1128.64
231,46432,20.515377,4.72,1133.93
232,46633,20.506694,4.80,1138.74
233,46834,20.507806,4.74,1144.05
234,47035,20.504561,4.74,1148.79
235,47236,20.503588,4.78,1154.13
236,47437,20.490017,4.81,1159.52
237,47638,20.494271,4.76,1164.85
238,47839,20.486333,4.86,1169.72
239,48040,20.491050,4.76,1175.05
240,48241,20.486996,4.87,1179.92
241,48442,20.475120,4.74,1184.66
242,48643,20.473596,4.77,1190.00
243,48844,20.475768,4.76,1195.34
244,49045,20.459639,4.74,1200.08
245,49246,20.467252,4.75,1205.41
246,49447,20.455563,4.86,1210.27
247,49648,20.453247,4.81,1215.65
248,49849,20.445962,4.81,1221.03
249,50050,20.459947,4.73,1226.33
250,50251,20.453151,4.78,1231.11
251,50452,20.453151,4.75,1235.86
252,50653,20.447472,4.79,1240.66
253,50854,20.446481,4.76,1245.42
254,51055,20.440671,4.74,1250.16
255,51256,20.434875,4.76,1255.50
256,51457,20.431505,4.78,1260.85
257,51658,20.418779,4.81,1266.23
258,51859,20.419186,4.83,1271.64
259,52060,20.421781,4.80,1276.44
260,52261,20.416246,4.75,1281.19
261,52462,20.401738,4.75,1286.52
262,52663,20.393092,4.79,1291.89
263,52864,20.394862,4.85,1297.31
264,53065,20.382800,4.68,1301.99
265,53266,20.376492,4.78,1307.35
266,53467,20.365704,4.82,1312.74
267,53668,20.362953,4.79,1318.12
268,53869,20.355563,4.77,1323.46
269,54070,20.354402,4.76,1328.80
270,54271,20.343484,4.78,1334.16
271,54472,20.348877,4.74,1339.47
272,54673,20.341814,4.84,1344.31
273,54874,20.332111,4.80,1349.68
274,55075,20.327512,4.81,1355.05
275,55276,20.328391,4.75,1360.38
276,55477,20.314487,4.77,1365.15
277,55678,20.317852,4.75,1370.48
278,55879,20.319513,4.78,1375.26
279,56080,20.311689,4.72,1379.99
280,56281,20.308857,4.80,1385.36
281,56482,20.306910,4.76,1390.69
282,56683,20.293805,4.72,1395.98
283,56884,20.292686,4.76,1401.31
284,57085,20.281842,4.77,1406.66
285,57286,20.284750,4.82,1412.06
286,57487,20.286923,4.78,1416.84
287,57688,20.278005,4.74,1421.59
288,57889,20.272450,4.73,1426.88
289,58090,20.273505,4.79,1432.25
290,58291,20.275099,4.82,1437.07
291,58492,20.279364,4.79,1441.86
292,58693,20.261210,4.83,1446.70
293,58894,20.261667,4.76,1452.03
294,59095,20.263152,4.80,1456.83
295,59296,20.251933,4.81,1461.65
296,59497,20.252048,4.84,1467.07
297,59698,20.260670,4.71,1471.78
298,59899,20.268385,4.85,1476.64
299,60100,20.273673,4.75,1481.39
300,60301,20.271198,4.80,1486.20
301,60502,20.263128,4.77,1490.97
302,60703,20.260321,4.81,1495.79
303,60904,20.255507,4.84,1500.63
304,61105,20.254015,4.76,1505.39
305,61306,20.246582,4.74,1510.13
306,61507,20.249001,4.77,1515.47
307,61708,20.239050,4.84,1520.31
308,61909,20.245955,4.80,1525.69
309,62110,20.247830,4.75,1530.43
310,62311,20.247056,4.71,1535.15
311,62512,20.251989,4.78,1539.93
312,62713,20.250074,4.83,1544.75
313,62914,20.246170,4.80,1549.55
314,63115,20.261028,4.73,1554.28
315,63316,20.249100,4.77,1559.05
316,63517,20.246429,4.81,1563.87
317,63718,20.246464,4.79,1568.66
318,63919,20.236474,4.87,1573.53
319,64120,20.237838,4.79,1578.91
320,64321,20.231034,4.78,1583.69
321,64522,20.229752,4.77,1589.03
322,64723,20.218286,4.78,1594.38
323,64924,20.218789,4.76,1599.72
324,65125,20.211934,4.84,1604.56
325,65326,20.211382,4.87,1610.00
326,65527,20.203332,4.86,1615.43
327,65728,20.195891,4.81,1620.81
328,65929,20.196130,4.81,1626.19
329,66130,20.183114,4.77,1630.96
330,66331,20.178645,4.82,1636.34
331,66532,20.172563,4.81,1641.74
332,66733,20.165723,4.79,1647.10
333,66934,20.158859,4.78,1652.46
334,67135,20.160454,4.77,1657.82
335,67336,20.159444,4.79,1662.61
336,67537,20.148898,4.81,1667.42
337,67738,20.152074,4.81,1672.80
338,67939,20.142813,4.77,1677.57
339,68140,20.141415,4.80,1682.95
