iteration,total_queries,loss,iter_time_s,total_time_s
1,202,20.792786,4.79,5.25
2,403,20.773774,4.85,10.68
3,604,20.754339,4.85,16.11
4,805,20.736351,4.78,21.48
5,1006,20.720052,4.74,26.78
6,1207,24.221425,4.78,32.15
7,1408,24.126316,4.74,36.89
8,1609,24.012687,4.70,41.59
9,1810,23.906302,4.82,46.41
10,2011,23.776913,4.73,51.14
11,2212,23.683836,4.79,55.94
12,2413,23.570837,4.80,60.74
13,2614,23.443145,4.82,65.57
14,2815,23.344944,4.78,70.35
15,3016,23.213989,4.80,75.15
16,3217,23.121715,4.80,79.95
17,3418,23.977181,4.77,84.72
18,3619,22.927149,4.77,89.49
19,3820,22.847514,4.80,94.30
20,4021,22.790081,4.80,99.10
21,4222,22.708960,4.77,103.87
22,4423,22.610833,4.81,108.68
23,4624,22.516649,4.78,113.46
24,4825,22.439170,4.78,118.24
25,5026,22.372404,4.76,123.00
26,5227,22.294082,4.82,127.82
27,5428,22.196433,4.81,132.64
28,5629,22.158908,4.78,137.42
29,5830,22.075645,4.81,142.22
30,6031,22.009605,4.79,147.02
31,6232,21.940627,4.82,151.84
32,6433,21.898368,4.78,156.62
33,6634,21.833165,4.71,161.33
34,6835,21.769915,4.82,166.15
35,7036,21.720666,4.81,170.96
36,7237,21.656276,4.76,175.73
37,7438,21.607023,4.85,180.58
38,7639,21.545387,4.84,185.43
39,7840,21.486663,4.79,190.22
40,8041,21.424826,4.77,194.99
41,8242,21.382572,4.76,199.75
42,8443,21.333087,4.76,204.51
43,8644,21.297662,4.83,209.34
44,8845,21.244309,4.84,214.19
45,9046,21.204910,4.78,218.98
46,9247,23.341567,4.71,223.69
47,9448,21.137380,4.73,228.42
48,9649,21.078402,4.80,233.22
49,9850,21.031125,4.71,237.93
50,10051,20.987959,4.79,242.72
51,10252,20.945591,4.84,247.57
52,10453,20.909747,4.83,252.40
53,10654,20.864867,4.79,257.19
54,10855,20.825091,4.84,262.03
55,11056,20.787423,4.78,266.81
56,11257,20.751723,4.84,271.66
57,11458,20.707302,4.73,276.39
58,11659,20.680250,4.78,281.75
59,11860,20.645063,4.78,287.11
60,12061,20.610612,4.84,292.52
61,12262,20.586724,4.84,297.94
62,12463,20.542778,4.79,303.30
63,12664,20.524585,4.74,308.62
64,12865,20.494846,4.74,313.94
65,13066,20.474927,4.81,319.33
66,13267,20.461523,4.79,324.70
67,13468,20.437231,4.78,330.06
68,13669,20.406117,4.75,335.38
69,13870,20.386529,4.84,340.79
70,14071,20.379176,4.75,346.11
71,14272,20.355167,4.72,351.42
72,14473,20.323723,4.73,356.72
73,14674,20.299564,4.78,362.08
74,14875,20.277482,4.74,367.40
75,15076,20.255686,4.82,372.79
76,15277,20.240193,4.86,378.23
77,15478,20.225550,4.74,383.55
78,15679,20.192865,4.82,388.94
79,15880,20.183063,4.82,394.33
80,16081,20.159977,4.89,399.80
81,16282,20.139403,4.81,405.18
82,16483,20.112791,4.84,410.60
83,16684,20.100075,4.80,415.98
84,16885,20.077189,4.76,421.31
85,17086,10.320432,4.79,426.68
86,17287,10.303278,4.78,432.04
87,17488,10.268887,4.81,437.44
88,17689,10.209978,4.77,442.79
89,17890,10.142157,4.79,448.16
90,18091,10.098263,4.72,453.45
91,18292,10.045228,4.78,458.81
92,18493,0.059989,4.78,464.16
