iteration,total_queries,loss,iter_time_s,total_time_s
1,202,30.042329,4.71,5.16
2,403,30.031166,4.70,10.41
3,604,30.033764,4.66,15.63
4,805,20.668226,4.66,20.30
5,1006,20.661615,4.66,25.54
6,1207,23.897474,4.76,30.88
7,1408,23.738230,4.81,35.69
8,1609,23.586195,4.73,40.42
9,1810,23.444476,4.69,45.11
10,2011,23.313749,4.78,49.89
11,2212,23.253046,4.81,54.70
12,2413,23.202457,4.73,59.44
13,2614,23.142131,4.81,64.25
14,2815,23.084805,4.80,69.05
15,3016,23.001901,4.72,73.77
16,3217,22.957752,4.76,78.53
17,3418,22.892875,4.67,83.21
18,3619,22.853367,4.78,87.98
19,3820,22.823947,4.75,92.74
20,4021,22.763881,4.77,97.52
21,4222,22.700206,4.80,102.32
22,4423,22.646868,4.75,107.07
23,4624,22.593552,4.86,111.93
24,4825,22.546401,4.76,116.69
25,5026,22.508270,4.84,121.54
26,5227,22.455647,4.76,126.30
27,5428,22.413918,4.76,131.06
28,5629,22.377589,4.72,135.78
