iteration,total_queries,loss,iter_time_s,total_time_s
177,35578,22.754357,4.72,860.39
178,35779,22.748203,4.82,865.21
179,35980,22.759638,4.77,869.98
180,36181,22.757923,4.76,874.75
181,36382,22.767686,4.71,879.46
182,36583,22.729378,4.76,884.22
183,36784,178.867517,4.81,889.04
184,36985,22.696947,4.82,893.86
185,37186,22.691527,4.76,898.63
186,37387,22.701047,4.74,903.36
187,37588,22.702739,4.85,908.22
188,37789,22.679171,4.89,913.11
189,37990,22.718058,4.82,917.93
190,38191,22.700043,4.83,922.76
191,38392,22.716049,4.75,927.52
192,38593,22.692587,4.93,932.45
193,38794,22.670133,4.75,937.20
194,38995,22.645651,4.85,942.05
195,39196,22.643963,4.77,946.83
196,39397,22.628494,4.82,951.65
197,39598,22.590358,4.78,956.43
198,39799,22.589763,4.81,961.24
199,40000,22.585466,4.73,965.97
200,40201,22.546373,4.75,970.72
201,40402,22.553100,4.84,975.56
202,40603,22.555097,4.71,980.27
203,40804,22.531444,4.77,985.04
204,41005,22.529517,4.82,989.86
205,41206,22.508235,4.77,994.64
206,41407,22.524116,4.73,999.37
207,41608,22.477419,4.81,1004.18
208,41809,22.459776,4.82,1009.00
209,42010,22.463617,4.78,1013.78
210,42211,22.465512,4.78,1018.56
211,42412,22.427463,4.82,1023.38
212,42613,22.421174,4.72,1028.09
213,42814,22.404614,4.79,1032.89
214,43015,22.401297,4.75,1037.64
215,43216,22.381803,4.78,1042.43
216,43417,22.411164,4.83,1047.25
217,43618,22.368096,4.73,1051.99
218,43819,22.363828,4.75,1056.74
219,44020,22.381933,4.83,1061.57
220,44221,22.349815,4.78,1066.36
221,44422,22.337299,4.78,1071.14
222,44623,22.355024,4.85,1076.00
223,44824,22.315492,4.85,1080.86
224,45025,22.300125,4.79,1085.65
225,45226,22.311261,4.76,1090.42
226,45427,22.309223,4.77,1095.19
227,45628,22.318916,4.72,1099.91
228,45829,22.306338,4.77,1104.68
229,46030,22.311470,4.79,1109.47
230,46231,22.310893,4.89,1114.36
231,46432,22.270159,4.86,1119.22
232,46633,22.243238,4.86,1124.08
233,46834,22.250672,4.81,1128.89
234,47035,22.238274,4.80,1133.70
235,47236,22.213272,4.87,1138.57
236,47437,22.218388,4.81,1143.38
237,47638,22.213875,4.82,1148.20
238,47839,22.180506,4.81,1153.01
239,48040,22.190536,4.83,1157.84
240,48241,22.194119,4.79,1162.63
241,48442,140.083055,4.73,1167.36
242,48643,22.172428,4.74,1172.10
243,48844,22.224843,4.70,1176.80
244,49045,22.174927,4.80,1181.61
245,49246,22.154215,4.73,1186.34
246,49447,22.175081,4.83,1191.18
247,49648,22.164801,4.79,1195.96
248,49849,22.149783,4.80,1200.77
249,50050,22.182423,4.74,1205.51
250,50251,22.185472,4.77,1210.29
251,50452,22.181779,4.81,1215.10
252,50653,22.147522,4.72,1219.82
253,50854,22.133865,4.86,1224.68
254,51055,22.127500,4.76,1229.44
255,51256,22.156566,4.81,1234.25
256,51457,22.117992,4.76,1239.01
257,51658,22.109419,4.81,1243.82
258,51859,22.132897,4.77,1248.60
259,52060,22.102511,4.79,1253.39
260,52261,22.083898,4.78,1258.18
261,52462,22.088713,4.79,1262.97
262,52663,22.110782,4.91,1267.88
263,52864,22.073225,4.79,1272.67
264,53065,22.046855,4.90,1277.58
265,53266,22.019404,4.80,1282.39
266,53467,22.026637,4.70,1287.09
267,53668,21.990094,4.82,1291.91
268,53869,21.977612,4.78,1296.70
269,54070,21.975958,4.79,1301.49
270,54271,21.983759,4.80,1306.29
271,54472,21.964908,4.82,1311.11
272,54673,21.945362,4.78,1315.90
273,54874,21.952994,4.78,1320.68
274,55075,21.931399,4.77,1325.46
275,55276,21.961278,4.79,1330.25
276,55477,21.915555,4.75,1335.00
277,55678,21.911962,4.79,1339.79
278,55879,21.909058,4.76,1344.55
279,56080,21.908755,4.76,1349.32
280,56281,21.890875,4.77,1354.09
281,56482,21.900733,4.80,1358.89
282,56683,21.874296,4.74,1363.63
283,56884,21.872716,4.78,1368.42
284,57085,21.857536,4.76,1373.18
285,57286,21.856520,4.75,1377.93
286,57487,21.852233,4.76,1382.69
287,57688,21.839722,4.89,1387.58
288,57889,21.817614,4.78,1392.36
289,58090,21.834686,4.75,1397.11
290,58291,21.829217,4.83,1401.94
291,58492,21.818226,4.78,1406.72
292,58693,21.804398,4.84,1411.56
293,58894,21.793558,4.76,1416.33
294,59095,21.775944,4.76,1421.09
295,59296,21.781781,4.77,1425.87
296,59497,21.761113,4.84,1430.70
297,59698,21.757390,4.79,1435.49
298,59899,21.748157,4.78,1440.28
299,60100,21.743928,4.77,1445.05
300,60301,21.735547,4.79,1449.84
301,60502,21.728777,4.86,1454.71
302,60703,21.731457,4.78,1459.49
303,60904,21.742187,4.75,1464.24
304,61105,184.364583,4.74,1468.98
305,61306,21.704257,4.74,1473.72
306,61507,21.703162,4.81,1478.54
307,61708,21.707339,4.78,1483.32
308,61909,21.718770,4.79,1488.11
309,62110,21.677194,4.74,1492.85
310,62311,21.674766,4.80,1497.66
311,62512,21.677112,4.81,1502.47
312,62713,21.665805,4.80,1507.27
313,62914,21.664757,4.76,1512.03
314,63115,21.639096,4.86,1516.89
315,63316,21.622272,4.78,1521.68
316,63517,21.630489,4.82,1526.50
317,63718,21.621406,4.79,1531.29
318,63919,21.608079,4.77,1536.06
319,64120,21.609426,4.72,1540.79
320,64321,21.589581,4.83,1545.63
321,64522,21.552849,4.81,1550.44
322,64723,21.540326,4.82,1555.26
323,64924,21.526207,4.86,1560.12
324,65125,21.531971,4.92,1565.04
325,65326,21.510572,4.83,1569.87
326,65527,21.501777,4.71,1574.59
327,65728,21.508798,4.80,1579.39
328,65929,21.503691,4.77,1584.16
329,66130,21.467159,4.81,1588.98
330,66331,21.467012,4.82,1593.80
331,66532,21.465746,4.80,1598.60
332,66733,21.455517,4.86,1603.47
333,66934,21.485420,4.79,1608.26
334,67135,21.459234,4.88,1613.14
335,67336,21.449517,4.81,1617.95
336,67537,21.441436,4.80,1622.75
337,67738,21.434071,4.79,1627.55
338,67939,21.421083,4.87,1632.42
339,68140,21.396965,4.89,1637.31
340,68341,21.401474,4.87,1642.18
341,68542,21.389084,4.80,1646.99
342,68743,21.376561,4.82,1651.81
343,68944,21.391260,4.77,1656.58
344,69145,21.409891,4.79,1661.37
345,69346,21.400293,4.74,1666.11
346,69547,21.402124,4.82,1670.93
347,69748,21.418208,4.77,1675.70
348,69949,21.417230,4.77,1680.47
349,70150,21.384640,4.81,1685.29
350,70351,21.381562,4.82,1690.10
351,70552,21.380685,4.78,1694.89
352,70753,21.371467,4.80,1699.69
353,70954,21.377535,4.83,1704.52
354,71155,21.364743,4.83,1709.35
355,71356,21.369605,4.84,1714.19
356,71557,21.354994,4.80,1719.00
357,71758,21.358299,4.80,1723.80
358,71959,21.336590,4.86,1728.66
359,72160,21.337196,4.74,1733.40
360,72361,21.316487,4.85,1738.25
361,72562,21.302098,4.74,1742.99
362,72763,21.300474,4.80,1747.79
363,72964,21.302189,4.74,1752.53
364,73165,21.287488,4.80,1757.33
365,73366,21.263321,4.80,1762.14
366,73567,21.252022,4.82,1766.96
367,73768,21.249894,4.77,1771.73
368,73969,21.267970,4.83,1776.56
369,74170,21.236446,4.84,1781.41
370,74371,21.247558,4.72,1786.13
371,74572,21.230984,4.83,1790.97
372,74773,21.239801,4.71,1795.68
