# --- Attack Parameters ---
# {
#     "attack_type": "nes",
#     "executable": "./resources/execution_files/liveness_Vit_mnn",
#     "image": "/model_deploy_execution_attack/resources/filtered_images/n002515-0111_01.jpg",
#     "hooks": "/model_deploy_execution_attack/hook_config/liveness_Vit_mnn_hook_config.json",
#     "model": null,
#     "models": "/model_deploy_execution_attack/resources/models/liveness_Vit.mnn",
#     "iterations": 200,
#     "l_inf_norm": 20.0,
#     "missing_hook_penalty": 10.0,
#     "margin": 0.001,
#     "enable_stagnation_decay": true,
#     "learning_rate": 5.0,
#     "lr_decay_rate": 0.97,
#     "lr_decay_steps": 50,
#     "stagnation_patience": 20,
#     "min_loss_delta": 0.001,
#     "enable_dynamic_focus": false,
#     "evaluation_window": 10,
#     "boost_weight": 10.0,
#     "non_target_weight": 1.0,
#     "satisfied_weight": 3.0,
#     "satisfaction_threshold": 0.01,
#     "satisfaction_patience": 3,
#     "raw_args_template": null,
#     "workers": 64,
#     "output_dir": "/model_deploy_execution_attack/attack_results/liveness_Vit_mnn_nes_n002515-0111_01_20250911-090259",
#     "population_size": 50,
#     "sigma": 0.6,
#     "enable_fitness_shaping": true,
#     "adam_beta1": 0.9,
#     "adam_beta2": 0.999,
#     "adam_epsilon": 1e-08,
#     "model_paths": [
#         "/model_deploy_execution_attack/resources/models/liveness_Vit.mnn"
#     ]
# }
# -----------------------

iteration,total_queries,loss,best_loss,lr,is_successful_iter,num_satisfied_hooks,total_hooks,attack_mode,focus_targets,hook_details,iter_time_s,total_time_s
1,52,0.087721,0.068046,5.000000,False,0,1,static,"N/A","",7.85,9.51
2,103,0.107179,0.068046,5.000000,False,0,1,static,"N/A","",7.89,17.42
3,154,0.125755,0.068046,5.000000,False,0,1,static,"N/A","",7.88,25.31
4,205,0.142888,0.068046,5.000000,False,0,1,static,"N/A","",7.89,33.20
5,256,0.138956,0.068046,5.000000,False,0,1,static,"N/A","",7.93,41.14
6,307,0.136921,0.068046,5.000000,False,0,1,static,"N/A","",7.93,49.08
7,358,0.133469,0.068046,5.000000,False,0,1,static,"N/A","",7.91,57.01
8,409,0.127022,0.068046,5.000000,False,0,1,static,"N/A","",7.85,64.87
9,460,0.119105,0.068046,5.000000,False,0,1,static,"N/A","",7.90,72.78
10,511,0.113782,0.068046,5.000000,False,0,1,static,"N/A","",7.93,80.72
11,562,0.109602,0.068046,5.000000,False,0,1,static,"N/A","",7.90,88.64
12,613,0.103007,0.068046,5.000000,False,0,1,static,"N/A","",7.86,96.51
13,664,0.097400,0.068046,5.000000,False,0,1,static,"N/A","",7.85,104.37
14,715,0.093340,0.068046,5.000000,False,0,1,static,"N/A","",7.88,112.26
15,766,0.089205,0.068046,5.000000,False,0,1,static,"N/A","",7.87,120.14
16,817,0.087427,0.068046,5.000000,False,0,1,static,"N/A","",7.88,128.03
17,868,0.082354,0.068046,5.000000,False,0,1,static,"N/A","",7.89,135.94
18,919,0.080832,0.068046,5.000000,False,0,1,static,"N/A","",7.90,143.84
19,970,0.079056,0.068046,5.000000,False,0,1,static,"N/A","",7.91,151.77
20,1021,0.076327,0.068046,5.000000,False,0,1,static,"N/A","",7.90,159.68
21,1072,0.072976,0.068046,5.000000,False,0,1,static,"N/A","",7.92,167.61
22,1123,0.072235,0.068046,5.000000,False,0,1,static,"N/A","",7.91,175.53
23,1174,0.070865,0.068046,5.000000,False,0,1,static,"N/A","",7.93,183.48
24,1225,0.066436,0.068046,5.000000,False,0,1,static,"N/A","",7.85,191.34
25,1276,0.064155,0.066436,5.000000,False,0,1,static,"N/A","",7.86,199.23
26,1327,0.061597,0.064155,5.000000,False,0,1,static,"N/A","",7.92,207.17
27,1378,0.059751,0.061597,5.000000,False,0,1,static,"N/A","",7.87,215.06
28,1429,0.058634,0.059751,5.000000,False,0,1,static,"N/A","",7.90,222.98
29,1480,0.056339,0.058634,5.000000,False,0,1,static,"N/A","",7.88,230.88
30,1531,0.054882,0.056339,5.000000,False,0,1,static,"N/A","",7.90,238.81
31,1582,0.052210,0.054882,5.000000,False,0,1,static,"N/A","",7.91,246.75
32,1633,0.050904,0.052210,5.000000,False,0,1,static,"N/A","",7.91,254.68
33,1684,0.048703,0.050904,5.000000,False,0,1,static,"N/A","",7.93,262.63
34,1735,0.049097,0.048703,5.000000,False,0,1,static,"N/A","",7.86,270.52
35,1786,0.045238,0.048703,5.000000,False,0,1,static,"N/A","",7.88,278.41
36,1837,0.043951,0.045238,5.000000,False,0,1,static,"N/A","",7.86,286.29
37,1888,0.041560,0.043951,5.000000,False,0,1,static,"N/A","",7.90,294.22
38,1939,0.040091,0.041560,5.000000,False,0,1,static,"N/A","",7.91,302.15
39,1990,0.037290,0.040091,5.000000,False,0,1,static,"N/A","",7.90,310.07
40,2041,0.035138,0.037290,5.000000,False,0,1,static,"N/A","",7.91,318.01
41,2092,0.034095,0.035138,5.000000,False,0,1,static,"N/A","",7.92,325.95
42,2143,0.031451,0.034095,5.000000,False,0,1,static,"N/A","",7.88,333.86
43,2194,0.029595,0.031451,5.000000,False,0,1,static,"N/A","",7.85,341.74
44,2245,0.030278,0.029595,5.000000,False,0,1,static,"N/A","",7.88,349.64
45,2296,0.028128,0.029595,5.000000,False,0,1,static,"N/A","",7.87,357.52
46,2347,0.027128,0.028128,5.000000,False,0,1,static,"N/A","",7.86,365.40
47,2398,0.027693,0.027128,5.000000,False,0,1,static,"N/A","",7.94,373.37
